id,prov_id,provenance_url
dc/base/MSTEP_3-8Grades,dc/base/MSTEP_3-8Grades,https://www.mischooldata.org
dc/base/INPE_Fire_Event_Count,dc/base/INPE_Fire_Event_Count,https://terrabrasilis.dpi.inpe.br/queimadas/situacao-atual/estatisticas/estatisticas_estados/
dc/base/Brazil_SIDRA_IBGE,dc/base/Brazil_SIDRA_IBGE,https://sidra.ibge.gov.br/home/pnadct
dc/base/CaliforniaSchoolPerformance,dc/base/CaliforniaSchoolPerformance,https://caaspp-elpac.ets.org/elpac/
dc/base/crdc_instructional_wifi_devices,dc/base/crdc_instructional_wifi_devices,https://civilrightsdata.ed.gov/data
dc/base/DynamicWorld_FloodEvents_Places_AutoRefresh,dc/base/DynamicWorld_FloodEvents_Places_AutoRefresh,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
dc/base/EuroStatHealth_BodyMassIndex,dc/base/EuroStatHealth_BodyMassIndex,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EuroStatHealth_SocialEnvironment,dc/base/EuroStatHealth_SocialEnvironment,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EurostatHealth_Tobacco_Consumption,dc/base/EurostatHealth_Tobacco_Consumption,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EuroStatHealth_PhysicalActivity,dc/base/EuroStatHealth_PhysicalActivity,https://ec.europa.eu/eurostat/web/health/database
dc/base/EuroStatHealth_FruitsAndVegetables,dc/base/EuroStatHealth_FruitsAndVegetables,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EurostatData_Employment_Per_Sector,dc/base/EurostatData_Employment_Per_Sector,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_3empers/default/table?lang=en
dc/base/EurostatData_PopulationDensity,dc/base/EurostatData_PopulationDensity,https://ec.europa.eu/eurostat/databrowser/view/demo_r_d3dens/default/table?lang=en
dc/base/EurostatData_Education_Attainment,dc/base/EurostatData_Education_Attainment,https://ec.europa.eu/eurostat/databrowser/view/edat_lfse_04/default/table?lang=en
dc/base/EurostatData_Education_Enrollment,dc/base/EurostatData_Education_Enrollment,https://ec.europa.eu/eurostat/databrowser/view/trng_lfse_04/default/table?lang=en
dc/base/EurostatData_Demographic_Balance_Crude_Rates,dc/base/EurostatData_Demographic_Balance_Crude_Rates,https://ec.europa.eu/eurostat/databrowser/view/demo_r_gind3/default/table?lang=en
dc/base/EurostatData_Fertility,dc/base/EurostatData_Fertility,https://ec.europa.eu/eurostat/databrowser/view/demo_r_find3/default/table?lang=en
dc/base/EurostatData_LifeExpectancy,dc/base/EurostatData_LifeExpectancy,https://ec.europa.eu/eurostat/databrowser/view/demo_r_mlifexp/default/table?lang=en
dc/base/EurostatData_GDP,dc/base/EurostatData_GDP,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_3gdp/default/table?lang=en
dc/base/USFEMA_FloodInsuranceClaims,dc/base/USFEMA_FloodInsuranceClaims,https://www.fema.gov/openfema-data-page/fima-nfip-redacted-claims-v2
dc/base/USFEMA_NationalRiskIndex,dc/base/USFEMA_NationalRiskIndex,https://hazards.fema.gov/nri/
dc/base/Google_COVID19Mobility,dc/base/Google_COVID19Mobility,https://www.google.com/covid19/mobility/
dc/base/Google_SustainabilityFinancialIncentives,dc/base/Google_SustainabilityFinancialIncentives,https://www.google.com
dc/base/Mongolia_Employment,dc/base/Mongolia_Employment,https://www.1212.mn/en/statcate
dc/base/Mongolia_Demographics,dc/base/Mongolia_Demographics,https://www.1212.mn/en/statcate
dc/base/Mongolia_Health,dc/base/Mongolia_Health,https://www.1212.mn/en/statcate
dc/base/Mongolia_Education,dc/base/Mongolia_Education,https://www.1212.mn/en/statcate
dc/base/NewYork_Education,dc/base/NewYork_Education,https://data.cityofnewyork.us/browse?category=Education
dc/base/NewYorkUniversity_Diabetes,dc/base/NewYorkUniversity_Diabetes,https://www.health.ny.gov/statistics/prevention/injury_prevention/information_for_action/
dc/base/US_SAT_ACT_Participation,dc/base/US_SAT_ACT_Participation,https://ocrdata.ed.gov/
dc/base/US_UrbanSchool_Enrollment,dc/base/US_UrbanSchool_Enrollment,https://ocrdata.ed.gov/
dc/base/US_Urban_MathsAndScience_Course_Enrollment,dc/base/US_Urban_MathsAndScience_Course_Enrollment,https://civilrightsdata.ed.gov/data
dc/base/US_Urban_Schools_Teachers_And_Staff,dc/base/US_Urban_Schools_Teachers_And_Staff,https://ocrdata.ed.gov/
dc/base/US_SAT_ACT_Participation_state,dc/base/US_SAT_ACT_Participation_state,https://ocrdata.ed.gov/
dc/base/US_UrbanSchool_Finances,dc/base/US_UrbanSchool_Finances,https://ocrdata.ed.gov/data
dc/base/US_UrbanSchool_Retention,dc/base/US_UrbanSchool_Retention,https://ocrdata.ed.gov/data
dc/base/OECDRegionalDemography_LifeExpectancy,dc/base/OECDRegionalDemography_LifeExpectancy,https://data-explorer.oecd.org/vis?df[ds]=DisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_LIFE_EXP&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&pd=%2C&to[TIME_PERIOD]=false&vw=tb
dc/base/OECDRegionalDemography_Mortality,dc/base/OECDRegionalDemography_Mortality,https://stats.oecd.org/Index.aspx?DataSetCode=REGION_DEMOGR#
dc/base/OECDRegionalDemography_Population,dc/base/OECDRegionalDemography_Population,https://data-explorer.oecd.org/vis?fs[0]=Topic%2C0%7CRegional%252C%20rural%20and%20urban%20development%23GEO%23&pg=40&fc=Topic&bp=true&snb=117&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_POP_5Y&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&to[TIME_PERIOD]=false&vw=tb&pd=%2C
dc/base/OECDRegionalDemography_PopulationDensity,dc/base/OECDRegionalDemography_PopulationDensity,https://data-explorer.oecd.org/vis?pg=0&snb=1&tm=pop%20density&df[ds]=dsDisseminateFinalDMZ&df[id]=DSD_REG_DEMO%40DF_DENSITY&df[ag]=OECD.CFE.EDS&df[vs]=2.0&dq=A.......&pd=%2C&to[TIME_PERIOD]=false&vw=tb
