id,prov_id,provenance_url
dc/base/INPE_Fire_Event_Count,dc/base/INPE_Fire_Event_Count,https://terrabrasilis.dpi.inpe.br/queimadas/situacao-atual/estatisticas/estatisticas_estados/
dc/base/Brazil_SIDRA_IBGE,dc/base/Brazil_SIDRA_IBGE,https://sidra.ibge.gov.br/home/pnadct
dc/base/crdc_instructional_wifi_devices,dc/base/crdc_instructional_wifi_devices,https://civilrightsdata.ed.gov/data
dc/base/DynamicWorld_FloodEvents_Places_AutoRefresh,dc/base/DynamicWorld_FloodEvents_Places_AutoRefresh,https://developers.google.com/earth-engine/datasets/catalog/GOOGLE_DYNAMICWORLD_V1
dc/base/EuroStatHealth_BodyMassIndex,dc/base/EuroStatHealth_BodyMassIndex,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EuroStatHealth_SocialEnvironment,dc/base/EuroStatHealth_SocialEnvironment,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EurostatHealth_Tobacco_Consumption,dc/base/EurostatHealth_Tobacco_Consumption,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EuroStatHealth_PhysicalActivity,dc/base/EuroStatHealth_PhysicalActivity,https://ec.europa.eu/eurostat/web/health/database
dc/base/EuroStatHealth_FruitsAndVegetables,dc/base/EuroStatHealth_FruitsAndVegetables,https://ec.europa.eu/eurostat/web/main/data/database
dc/base/EurostatData_Employment_Per_Sector,dc/base/EurostatData_Employment_Per_Sector,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_3empers/default/table?lang=en
dc/base/EurostatData_PopulationDensity,dc/base/EurostatData_PopulationDensity,https://ec.europa.eu/eurostat/databrowser/view/demo_r_d3dens/default/table?lang=en
dc/base/EurostatData_Education_Attainment,dc/base/EurostatData_Education_Attainment,https://ec.europa.eu/eurostat/databrowser/view/edat_lfse_04/default/table?lang=en
dc/base/EurostatData_Education_Enrollment,dc/base/EurostatData_Education_Enrollment,https://ec.europa.eu/eurostat/databrowser/view/trng_lfse_04/default/table?lang=en
dc/base/EurostatData_Demographic_Balance_Crude_Rates,dc/base/EurostatData_Demographic_Balance_Crude_Rates,https://ec.europa.eu/eurostat/databrowser/view/demo_r_gind3/default/table?lang=en
dc/base/EurostatData_Fertility,dc/base/EurostatData_Fertility,https://ec.europa.eu/eurostat/databrowser/view/demo_r_find3/default/table?lang=en
dc/base/EurostatData_LifeExpectancy,dc/base/EurostatData_LifeExpectancy,https://ec.europa.eu/eurostat/databrowser/view/demo_r_mlifexp/default/table?lang=en
dc/base/EurostatData_GDP,dc/base/EurostatData_GDP,https://ec.europa.eu/eurostat/databrowser/view/nama_10r_3gdp/default/table?lang=en
dc/base/USFEMA_FloodInsuranceClaims,dc/base/USFEMA_FloodInsuranceClaims,https://www.fema.gov/openfema-data-page/fima-nfip-redacted-claims-v2
dc/base/USFEMA_NationalRiskIndex,dc/base/USFEMA_NationalRiskIndex,https://hazards.fema.gov/nri/
dc/base/Google_COVID19Mobility,dc/base/Google_COVID19Mobility,https://www.google.com/covid19/mobility/
dc/base/Google_SustainabilityFinancialIncentives,dc/base/Google_SustainabilityFinancialIncentives,https://www.google.com
dc/base/Mongolia_Employment,dc/base/Mongolia_Employment,https://www.1212.mn/en/statcate
dc/base/Mongolia_Demographics,dc/base/Mongolia_Demographics,https://www.1212.mn/en/statcate
dc/base/Mongolia_Health,dc/base/Mongolia_Health,https://www.1212.mn/en/statcate
dc/base/Mongolia_Education,dc/base/Mongolia_Education,https://www.1212.mn/en/statcate
